,Home_Team,Away_Team,Link,Season,Round,League
0,Spezia,Inter,https://www.besoccer.com/match/asd-spezia/internazionale/202249354,2022,33,serie_a
1,Milan,Genoa,https://www.besoccer.com/match/milan/genoa/202249346,2022,33,serie_a
2,Cagliari,Sassuolo,https://www.besoccer.com/match/cagliari/us-sassuolo-calcio/202249348,2022,33,serie_a
3,Sampdoria,Salernitana,https://www.besoccer.com/match/sampdoria/salernitana-calcio-1919/202249353,2022,33,serie_a
4,Udinese,Empoli,https://www.besoccer.com/match/udinese/empoli-fc/202249355,2022,33,serie_a
5,Fiorentina,Venezia,https://www.besoccer.com/match/fiorentina/venezia/202249349,2022,33,serie_a
6,Juventus,Bologna,https://www.besoccer.com/match/juventus-fc/bologna/202249350,2022,33,serie_a
7,Lazio,Torino,https://www.besoccer.com/match/lazio/torino-fc/202249351,2022,33,serie_a
8,Napoli,Roma,https://www.besoccer.com/match/napoli/roma/202249352,2022,33,serie_a
9,Atalanta,Hellas Verona,https://www.besoccer.com/match/atalanta/hellas-verona-fc/202249347,2022,33,serie_a
