Home Team,Away Team,Link,Season,Round,League
Empoli,Spezia,https://www.besoccer.com/match/empoli-fc/asd-spezia/202249339,2022,32,serie_a
Inter,Hellas Verona,https://www.besoccer.com/match/internazionale/hellas-verona-fc/202249341,2022,32,serie_a
Cagliari,Juventus,https://www.besoccer.com/match/cagliari/juventus-fc/202249338,2022,32,serie_a
Genoa,Lazio,https://www.besoccer.com/match/genoa/lazio/202249340,2022,32,serie_a
Napoli,Fiorentina,https://www.besoccer.com/match/napoli/fiorentina/202249342,2022,32,serie_a
Sassuolo,Atalanta,https://www.besoccer.com/match/us-sassuolo-calcio/atalanta/202249343,2022,32,serie_a
Venezia,Udinese,https://www.besoccer.com/match/venezia/udinese/202249345,2022,32,serie_a
Roma,Salernitana,https://www.besoccer.com/match/roma/salernitana-calcio-1919/202249336,2022,32,serie_a
Torino,Milan,https://www.besoccer.com/match/torino-fc/milan/202249344,2022,32,serie_a
Bologna,Sampdoria,https://www.besoccer.com/match/bologna/sampdoria/202249337,2022,32,serie_a
